Station,Date/Time  ,DATE,TIME,Temp ,SpCond ,DO Conc ,pH
G379,7/15/2012 5:31,7/15/2012,5:31,28.1,0.868,0.37,7.37
G379,7/15/2012 5:46,7/15/2012,5:46,28.03,0.865,0.35,7.37
G379,7/15/2012 6:01,7/15/2012,6:01,27.96,0.868,0.33,7.37
G379,7/15/2012 6:16,7/15/2012,6:16,27.9,0.869,0.31,7.37
G379,7/15/2012 6:31,7/15/2012,6:31,27.85,0.868,0.28,7.37
G379,7/15/2012 6:46,7/15/2012,6:46,27.78,0.862,0.27,7.36
G379,7/15/2012 7:01,7/15/2012,7:01,27.72,0.868,0.25,7.36
G379,7/15/2012 7:16,7/15/2012,7:16,27.69,0.868,0.22,7.36
G379,7/15/2012 7:31,7/15/2012,7:31,27.67,0.866,0.2,7.35
G379,7/15/2012 7:46,7/15/2012,7:46,27.64,0.867,0.16,7.34
G379,7/15/2012 8:01,7/15/2012,8:01,27.64,0.869,0.12,7.34
G379,7/15/2012 8:16,7/15/2012,8:16,27.65,0.873,0.06,7.34
G379,7/15/2012 8:31,7/15/2012,8:31,27.67,0.873,-0.01,7.33
G379,7/15/2012 8:46,7/15/2012,8:46,27.7,0.875,-0.04,7.32
G379,7/15/2012 9:01,7/15/2012,9:01,27.73,0.877,-0.07,7.31
G379,7/15/2012 9:16,7/15/2012,9:16,27.77,0.879,-0.11,7.3
G379,7/15/2012 9:31,7/15/2012,9:31,27.81,0.88,-0.11,7.29
G379,7/15/2012 9:46,7/15/2012,9:46,27.85,0.88,-0.11,7.29
G379,7/15/2012 10:01,7/15/2012,10:01,27.89,0.881,-0.13,7.29
G379,7/15/2012 10:16,7/15/2012,10:16,27.91,0.879,-0.16,7.28
G379,7/15/2012 10:31,7/15/2012,10:31,27.91,0.885,-0.18,7.27
G379,7/15/2012 10:46,7/15/2012,10:46,27.91,0.891,-0.17,7.26
G379,7/15/2012 11:01,7/15/2012,11:01,27.92,0.901,-0.19,7.25
G379,7/15/2012 11:16,7/15/2012,11:16,27.97,0.903,-0.19,7.24
G379,7/15/2012 11:31,7/15/2012,11:31,28.03,0.903,-0.21,7.25
G379,7/15/2012 11:46,7/15/2012,11:46,28.1,0.899,-0.22,7.25
G379,7/15/2012 12:01,7/15/2012,12:01,28.18,0.899,-0.21,7.25
G379,7/15/2012 12:16,7/15/2012,12:16,28.26,0.899,-0.23,7.25
G379,7/15/2012 12:31,7/15/2012,12:31,28.36,0.899,-0.24,7.26
G379,7/15/2012 12:46,7/15/2012,12:46,28.52,0.896,-0.23,7.29
G379,7/15/2012 13:01,7/15/2012,1:01,28.77,0.888,-0.22,7.32
G379,7/15/2012 13:16,7/15/2012,1:16,29.04,0.886,-0.23,7.34
G379,7/15/2012 13:31,7/15/2012,1:31,29.31,0.884,-0.26,7.34
G379,7/15/2012 13:46,7/15/2012,1:46,29.55,0.884,-0.24,7.34
G379,7/15/2012 14:01,7/15/2012,2:01,29.79,0.884,-0.26,7.34
G379,7/15/2012 14:16,7/15/2012,2:16,30.01,0.884,-0.25,7.34
G379,7/15/2012 14:31,7/15/2012,2:31,30.21,0.884,-0.26,7.35
G379,7/15/2012 14:46,7/15/2012,2:46,30.46,0.884,-0.27,7.36
G379,7/15/2012 15:01,7/15/2012,3:01,30.63,0.884,-0.29,7.35
G379,7/15/2012 15:16,7/15/2012,3:16,30.82,0.886,-0.27,7.34
G379,7/15/2012 15:31,7/15/2012,3:31,31.01,0.887,-0.3,7.34
G379,7/15/2012 15:46,7/15/2012,3:46,31.33,0.886,-0.29,7.37
G379,7/15/2012 16:01,7/15/2012,4:01,31.41,0.885,-0.29,7.35
G379,7/15/2012 16:16,7/15/2012,4:16,31.53,0.886,-0.29,7.35
G379,7/15/2012 16:31,7/15/2012,4:31,31.59,0.888,-0.31,7.35
G379,7/15/2012 16:46,7/15/2012,4:46,31.61,0.894,-0.26,7.33
G379,7/15/2012 17:01,7/15/2012,5:01,31.59,0.898,-0.23,7.34
G379,7/15/2012 17:16,7/15/2012,5:16,31.51,0.904,-0.12,7.33
G379,7/15/2012 17:31,7/15/2012,5:31,31.38,0.899,-0.06,7.3
G379,7/15/2012 17:46,7/15/2012,5:46,31.21,0.893,-0.02,7.26
G379,7/15/2012 18:01,7/15/2012,6:01,31.01,0.891,0.03,7.22
G379,7/15/2012 18:16,7/15/2012,6:16,30.78,0.888,0.11,7.18
G379,7/15/2012 18:31,7/15/2012,6:31,30.59,0.89,0.12,7.18
G379,7/15/2012 18:46,7/15/2012,6:46,30.43,0.911,0.15,7.19
G379,7/15/2012 19:01,7/15/2012,7:01,30.29,0.912,0.14,7.19
G379,7/15/2012 19:16,7/15/2012,7:16,30.17,0.916,0.16,7.19
G379,7/15/2012 19:31,7/15/2012,7:31,30.06,0.919,0.15,7.19
G379,7/15/2012 19:46,7/15/2012,7:46,29.96,0.916,0.17,7.18
G379,7/15/2012 20:01,7/15/2012,8:01,29.87,0.923,0.2,7.19
G379,7/15/2012 20:16,7/15/2012,8:16,29.79,0.925,0.24,7.17
