"Station","Date","TRP","TPO4","Month","Day","Time","Year","Hour","Minute","Flowway","Flowpath Region","RANK","TRP Rank","PERCENT_RANK","Scaled_Value","24_hour_mean","TRP Daily Mean","Diff_24_hour_mean","TRP Diff from daily mean","Percent difference from daily mean"
"G334",2013-10-08,1,28,"Oct",8,18.7333333333333,2013,18,44,"STA-2 Central","Outflow",10,4,0.454545454545455,0.823529411764706,28.8636363636364,2.18181818181818,-0.863636363636363,-1.18181818181818,-2.99212598425197
"G334",2013-10-08,1,26,"Oct",8,19.7333333333333,2013,19,44,"STA-2 Central","Outflow",5,5,0.227272727272727,0.764705882352941,28.8636363636364,2.18181818181818,-2.86363636363636,-1.18181818181818,-9.92125984251968
"G334",2013-10-08,1,25,"Oct",8,20.7333333333333,2013,20,44,"STA-2 Central","Outflow",3,6,0.136363636363636,0.735294117647059,28.8636363636364,2.18181818181818,-3.86363636363636,-1.18181818181818,-13.3858267716535
"G334",2013-10-08,1,24,"Oct",8,21.7333333333333,2013,21,44,"STA-2 Central","Outflow",1,7,0.0909090909090909,0.705882352941177,28.8636363636364,2.18181818181818,-4.86363636363636,-1.18181818181818,-16.8503937007874
"G334",2013-10-08,2,24,"Oct",8,22.7333333333333,2013,22,44,"STA-2 Central","Outflow",2,15,0.0909090909090909,0.705882352941177,28.8636363636364,2.18181818181818,-4.86363636363636,-0.181818181818182,-16.8503937007874
"G334",2013-10-09,5,27,"Oct",9,0.733333333333333,2013,0,44,"STA-2 Central","Outflow",10,21,0.590909090909091,0.794117647058823,27.4545454545455,2.19047619047619,-0.454545454545453,2.80952380952381,-1.65562913907284
"G334",2013-10-09,3,25,"Oct",9,1.73333333333333,2013,1,44,"STA-2 Central","Outflow",2,13,0.0909090909090909,0.735294117647059,27.4545454545455,2.19047619047619,-2.45454545454545,0.809523809523809,-8.94039735099337
"G334",2013-10-09,3,26,"Oct",9,2.73333333333333,2013,2,44,"STA-2 Central","Outflow",3,14,0.409090909090909,0.764705882352941,27.4545454545455,2.19047619047619,-1.45454545454545,0.809523809523809,-5.29801324503311
"G334",2013-10-09,1,23,"Oct",9,3.73333333333333,2013,3,44,"STA-2 Central","Outflow",1,1,0.0454545454545455,0.676470588235294,27.4545454545455,2.19047619047619,-4.45454545454545,-1.19047619047619,-16.2251655629139
"G334",2013-10-09,1,26,"Oct",9,4.73333333333333,2013,4,44,"STA-2 Central","Outflow",4,2,0.409090909090909,0.764705882352941,27.4545454545455,2.19047619047619,-1.45454545454545,-1.19047619047619,-5.29801324503311
"G334",2013-10-09,1,27,"Oct",9,5.73333333333333,2013,5,44,"STA-2 Central","Outflow",11,3,0.590909090909091,0.794117647058823,27.4545454545455,2.19047619047619,-0.454545454545453,-1.19047619047619,-1.65562913907284
"G334",2013-10-09,1,26,"Oct",9,6.73333333333333,2013,6,44,"STA-2 Central","Outflow",5,4,0.409090909090909,0.764705882352941,27.4545454545455,2.19047619047619,-1.45454545454545,-1.19047619047619,-5.29801324503311
"G334",2013-10-09,2,26,"Oct",9,7.73333333333333,2013,7,44,"STA-2 Central","Outflow",6,9,0.409090909090909,0.764705882352941,27.4545454545455,2.19047619047619,-1.45454545454545,-0.190476190476191,-5.29801324503311
"G334",2013-10-09,1,27,"Oct",9,8.73333333333333,2013,8,44,"STA-2 Central","Outflow",12,5,0.590909090909091,0.794117647058823,27.4545454545455,2.19047619047619,-0.454545454545453,-1.19047619047619,-1.65562913907284
"G334",2013-10-09,1,26,"Oct",9,9.73333333333333,2013,9,44,"STA-2 Central","Outflow",7,6,0.409090909090909,0.764705882352941,27.4545454545455,2.19047619047619,-1.45454545454545,-1.19047619047619,-5.29801324503311
"G334",2013-10-09,NA,27,"Oct",9,10.7333333333333,2013,10,44,"STA-2 Central","Outflow",13,NA,0.590909090909091,0.794117647058823,27.4545454545455,2.19047619047619,-0.454545454545453,NA,-1.65562913907284
"G334",2013-10-09,3,31,"Oct",9,12.7333333333333,2013,12,44,"STA-2 Central","Outflow",21,15,0.954545454545455,0.911764705882353,27.4545454545455,2.19047619047619,3.54545454545455,0.809523809523809,12.9139072847682
"G334",2013-10-09,3,29,"Oct",9,13.7333333333333,2013,13,44,"STA-2 Central","Outflow",16,16,0.909090909090909,0.852941176470588,27.4545454545455,2.19047619047619,1.54545454545455,0.809523809523809,5.62913907284769
"G334",2013-10-09,1,34,"Oct",9,14.7333333333333,2013,14,44,"STA-2 Central","Outflow",22,7,1,1,27.4545454545455,2.19047619047619,6.54545454545455,-1.19047619047619,23.841059602649
"G334",2013-10-09,4,29,"Oct",9,15.7333333333333,2013,15,44,"STA-2 Central","Outflow",17,20,0.909090909090909,0.852941176470588,27.4545454545455,2.19047619047619,1.54545454545455,1.80952380952381,5.62913907284769
"G334",2013-10-09,2,26,"Oct",9,16.7333333333333,2013,16,44,"STA-2 Central","Outflow",8,10,0.409090909090909,0.764705882352941,27.4545454545455,2.19047619047619,-1.45454545454545,-0.190476190476191,-5.29801324503311
"G334",2013-10-09,3,28,"Oct",9,17.7333333333333,2013,17,44,"STA-2 Central","Outflow",14,17,0.681818181818182,0.823529411764706,27.4545454545455,2.19047619047619,0.545454545454547,0.809523809523809,1.98675496688742
"G334",2013-10-09,2,29,"Oct",9,18.7333333333333,2013,18,44,"STA-2 Central","Outflow",18,11,0.909090909090909,0.852941176470588,27.4545454545455,2.19047619047619,1.54545454545455,-0.190476190476191,5.62913907284769
"G334",2013-10-09,2,29,"Oct",9,19.7333333333333,2013,19,44,"STA-2 Central","Outflow",19,12,0.909090909090909,0.852941176470588,27.4545454545455,2.19047619047619,1.54545454545455,-0.190476190476191,5.62913907284769
"G334",2013-10-09,3,29,"Oct",9,20.7333333333333,2013,20,44,"STA-2 Central","Outflow",20,18,0.909090909090909,0.852941176470588,27.4545454545455,2.19047619047619,1.54545454545455,0.809523809523809,5.62913907284769
"G334",2013-10-09,3,28,"Oct",9,21.7333333333333,2013,21,44,"STA-2 Central","Outflow",15,19,0.681818181818182,0.823529411764706,27.4545454545455,2.19047619047619,0.545454545454547,0.809523809523809,1.98675496688742
"G334",2013-10-09,1,26,"Oct",9,22.7333333333333,2013,22,44,"STA-2 Central","Outflow",9,8,0.409090909090909,0.764705882352941,27.4545454545455,2.19047619047619,-1.45454545454545,-1.19047619047619,-5.29801324503311
"G334",2013-10-10,2,29,"Oct",10,0.733333333333333,2013,0,44,"STA-2 Central","Outflow",13,9,0.818181818181818,0.935483870967742,28.4545454545455,2.36363636363636,0.545454545454547,-0.363636363636364,1.91693290734825
"G334",2013-10-10,1,27,"Oct",10,1.73333333333333,2013,1,44,"STA-2 Central","Outflow",1,1,0.318181818181818,0.870967741935484,28.4545454545455,2.36363636363636,-1.45454545454545,-1.36363636363636,-5.11182108626198
"G334",2013-10-10,2,27,"Oct",10,2.73333333333333,2013,2,44,"STA-2 Central","Outflow",2,10,0.318181818181818,0.870967741935484,28.4545454545455,2.36363636363636,-1.45454545454545,-0.363636363636364,-5.11182108626198
"G334",2013-10-10,7,27,"Oct",10,3.73333333333333,2013,3,44,"STA-2 Central","Outflow",3,22,0.318181818181818,0.870967741935484,28.4545454545455,2.36363636363636,-1.45454545454545,4.63636363636364,-5.11182108626198
"G334",2013-10-10,3,28,"Oct",10,4.73333333333333,2013,4,44,"STA-2 Central","Outflow",8,13,0.545454545454545,0.903225806451613,28.4545454545455,2.36363636363636,-0.454545454545453,0.636363636363636,-1.59744408945686
"G334",2013-10-10,3,29,"Oct",10,5.73333333333333,2013,5,44,"STA-2 Central","Outflow",14,14,0.818181818181818,0.935483870967742,28.4545454545455,2.36363636363636,0.545454545454547,0.636363636363636,1.91693290734825
"G334",2013-10-10,3,28,"Oct",10,6.73333333333333,2013,6,44,"STA-2 Central","Outflow",9,15,0.545454545454545,0.903225806451613,28.4545454545455,2.36363636363636,-0.454545454545453,0.636363636363636,-1.59744408945686
"G334",2013-10-10,3,28,"Oct",10,7.73333333333333,2013,7,44,"STA-2 Central","Outflow",10,16,0.545454545454545,0.903225806451613,28.4545454545455,2.36363636363636,-0.454545454545453,0.636363636363636,-1.59744408945686
"G334",2013-10-10,3,31,"Oct",10,8.73333333333333,2013,8,44,"STA-2 Central","Outflow",20,17,1,1,28.4545454545455,2.36363636363636,2.54545454545455,0.636363636363636,8.94568690095847
"G334",2013-10-10,3,29,"Oct",10,9.73333333333333,2013,9,44,"STA-2 Central","Outflow",15,18,0.818181818181818,0.935483870967742,28.4545454545455,2.36363636363636,0.545454545454547,0.636363636363636,1.91693290734825
"G334",2013-10-10,3,31,"Oct",10,10.7333333333333,2013,10,44,"STA-2 Central","Outflow",21,19,1,1,28.4545454545455,2.36363636363636,2.54545454545455,0.636363636363636,8.94568690095847
"G334",2013-10-10,5,29,"Oct",10,12.7333333333333,2013,12,44,"STA-2 Central","Outflow",16,21,0.818181818181818,0.935483870967742,28.4545454545455,2.36363636363636,0.545454545454547,2.63636363636364,1.91693290734825
"G334",2013-10-10,2,28,"Oct",10,13.7333333333333,2013,13,44,"STA-2 Central","Outflow",11,11,0.545454545454545,0.903225806451613,28.4545454545455,2.36363636363636,-0.454545454545453,-0.363636363636364,-1.59744408945686
